areaType,areaName,areaCode,date,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate
overview,United Kingdom,K02000001,2020-08-04,18,41226
overview,United Kingdom,K02000001,2020-08-03,1,41208
overview,United Kingdom,K02000001,2020-08-02,5,41207
overview,United Kingdom,K02000001,2020-08-01,13,41202
overview,United Kingdom,K02000001,2020-07-31,20,41189
overview,United Kingdom,K02000001,2020-07-30,0,41169
overview,United Kingdom,K02000001,2020-07-29,34,41169
overview,United Kingdom,K02000001,2020-07-28,21,41135
overview,United Kingdom,K02000001,2020-07-27,3,41114
overview,United Kingdom,K02000001,2020-07-26,8,41111
overview,United Kingdom,K02000001,2020-07-25,15,41103
overview,United Kingdom,K02000001,2020-07-24,32,41088
overview,United Kingdom,K02000001,2020-07-23,9,41056
overview,United Kingdom,K02000001,2020-07-22,17,41047
overview,United Kingdom,K02000001,2020-07-21,25,41030
overview,United Kingdom,K02000001,2020-07-20,10,41005
overview,United Kingdom,K02000001,2020-07-19,11,40995
overview,United Kingdom,K02000001,2020-07-18,9,40984
overview,United Kingdom,K02000001,2020-07-17,26,40975
overview,United Kingdom,K02000001,2020-07-16,24,40949
overview,United Kingdom,K02000001,2020-07-15,26,40925
overview,United Kingdom,K02000001,2020-07-14,44,40899
overview,United Kingdom,K02000001,2020-07-13,10,40855
overview,United Kingdom,K02000001,2020-07-12,9,40845
overview,United Kingdom,K02000001,2020-07-11,17,40836
overview,United Kingdom,K02000001,2020-07-10,34,40819
overview,United Kingdom,K02000001,2020-07-09,31,40785
overview,United Kingdom,K02000001,2020-07-08,57,40754
overview,United Kingdom,K02000001,2020-07-07,54,40697
overview,United Kingdom,K02000001,2020-07-06,11,40643
overview,United Kingdom,K02000001,2020-07-05,19,40632
overview,United Kingdom,K02000001,2020-07-04,32,40613
overview,United Kingdom,K02000001,2020-07-03,50,40581
overview,United Kingdom,K02000001,2020-07-02,41,40532
overview,United Kingdom,K02000001,2020-07-01,97,40491
overview,United Kingdom,K02000001,2020-06-30,53,40394
overview,United Kingdom,K02000001,2020-06-29,21,40341
overview,United Kingdom,K02000001,2020-06-28,31,40320
overview,United Kingdom,K02000001,2020-06-27,40,40289
overview,United Kingdom,K02000001,2020-06-26,79,40249
overview,United Kingdom,K02000001,2020-06-25,99,40172
overview,United Kingdom,K02000001,2020-06-24,87,40073
overview,United Kingdom,K02000001,2020-06-23,94,39986
overview,United Kingdom,K02000001,2020-06-22,14,39892
overview,United Kingdom,K02000001,2020-06-21,31,39878
overview,United Kingdom,K02000001,2020-06-20,71,39847
overview,United Kingdom,K02000001,2020-06-19,84,39776
overview,United Kingdom,K02000001,2020-06-18,67,39692
overview,United Kingdom,K02000001,2020-06-17,110,39625
overview,United Kingdom,K02000001,2020-06-16,120,39515
overview,United Kingdom,K02000001,2020-06-15,29,39395
overview,United Kingdom,K02000001,2020-06-14,27,39366
overview,United Kingdom,K02000001,2020-06-13,107,39339
overview,United Kingdom,K02000001,2020-06-12,131,39232
overview,United Kingdom,K02000001,2020-06-11,76,39101
overview,United Kingdom,K02000001,2020-06-10,164,39025
overview,United Kingdom,K02000001,2020-06-09,195,38861
overview,United Kingdom,K02000001,2020-06-08,47,38666
overview,United Kingdom,K02000001,2020-06-07,54,38619
overview,United Kingdom,K02000001,2020-06-06,143,38565
overview,United Kingdom,K02000001,2020-06-05,258,38422
overview,United Kingdom,K02000001,2020-06-04,130,38164
overview,United Kingdom,K02000001,2020-06-03,254,38034
overview,United Kingdom,K02000001,2020-06-02,249,37780
overview,United Kingdom,K02000001,2020-06-01,86,37531
overview,United Kingdom,K02000001,2020-05-31,60,37445
overview,United Kingdom,K02000001,2020-05-30,154,37385
overview,United Kingdom,K02000001,2020-05-29,274,37231
overview,United Kingdom,K02000001,2020-05-28,343,36957
overview,United Kingdom,K02000001,2020-05-27,422,36614
overview,United Kingdom,K02000001,2020-05-26,131,36192
overview,United Kingdom,K02000001,2020-05-25,104,36061
overview,United Kingdom,K02000001,2020-05-24,379,35957
overview,United Kingdom,K02000001,2020-05-23,220,35578
overview,United Kingdom,K02000001,2020-05-22,291,35358
overview,United Kingdom,K02000001,2020-05-21,273,35067
overview,United Kingdom,K02000001,2020-05-20,328,34794
overview,United Kingdom,K02000001,2020-05-19,500,34466
overview,United Kingdom,K02000001,2020-05-18,146,33966
overview,United Kingdom,K02000001,2020-05-17,67,33820
overview,United Kingdom,K02000001,2020-05-16,411,33753
overview,United Kingdom,K02000001,2020-05-15,350,33342
overview,United Kingdom,K02000001,2020-05-14,352,32992
overview,United Kingdom,K02000001,2020-05-13,447,32640
overview,United Kingdom,K02000001,2020-05-12,614,32193
overview,United Kingdom,K02000001,2020-05-11,187,31579
overview,United Kingdom,K02000001,2020-05-10,217,31392
overview,United Kingdom,K02000001,2020-05-09,275,31175
overview,United Kingdom,K02000001,2020-05-08,579,30900
overview,United Kingdom,K02000001,2020-05-07,458,30321
overview,United Kingdom,K02000001,2020-05-06,647,29863
overview,United Kingdom,K02000001,2020-05-05,726,29216
overview,United Kingdom,K02000001,2020-05-04,272,28490
overview,United Kingdom,K02000001,2020-05-03,253,28218
overview,United Kingdom,K02000001,2020-05-02,584,27965
overview,United Kingdom,K02000001,2020-05-01,698,27381
overview,United Kingdom,K02000001,2020-04-30,634,26683
overview,United Kingdom,K02000001,2020-04-29,769,26049
overview,United Kingdom,K02000001,2020-04-28,969,25280
overview,United Kingdom,K02000001,2020-04-27,320,24311
overview,United Kingdom,K02000001,2020-04-26,364,23991
overview,United Kingdom,K02000001,2020-04-25,815,23627
overview,United Kingdom,K02000001,2020-04-24,1010,22812
overview,United Kingdom,K02000001,2020-04-23,682,21802
overview,United Kingdom,K02000001,2020-04-22,847,21120
overview,United Kingdom,K02000001,2020-04-21,1224,20273
overview,United Kingdom,K02000001,2020-04-20,570,19049
overview,United Kingdom,K02000001,2020-04-19,432,18479
overview,United Kingdom,K02000001,2020-04-18,1105,18047
overview,United Kingdom,K02000001,2020-04-17,913,16942
overview,United Kingdom,K02000001,2020-04-16,1036,16029
overview,United Kingdom,K02000001,2020-04-15,880,14993
overview,United Kingdom,K02000001,2020-04-14,1076,14113
overview,United Kingdom,K02000001,2020-04-13,724,13037
overview,United Kingdom,K02000001,2020-04-12,657,12313
overview,United Kingdom,K02000001,2020-04-11,843,11656
overview,United Kingdom,K02000001,2020-04-10,1122,10813
overview,United Kingdom,K02000001,2020-04-09,1116,9691
overview,United Kingdom,K02000001,2020-04-08,1030,8575
overview,United Kingdom,K02000001,2020-04-07,1105,7545
overview,United Kingdom,K02000001,2020-04-06,567,6440
overview,United Kingdom,K02000001,2020-04-05,599,5873
overview,United Kingdom,K02000001,2020-04-04,756,5274
overview,United Kingdom,K02000001,2020-04-03,736,4518
overview,United Kingdom,K02000001,2020-04-02,657,3782
overview,United Kingdom,K02000001,2020-04-01,672,3125
overview,United Kingdom,K02000001,2020-03-31,403,2453
overview,United Kingdom,K02000001,2020-03-30,374,2050
overview,United Kingdom,K02000001,2020-03-29,212,1676
overview,United Kingdom,K02000001,2020-03-28,292,1464
overview,United Kingdom,K02000001,2020-03-27,288,1172
overview,United Kingdom,K02000001,2020-03-26,181,884
overview,United Kingdom,K02000001,2020-03-25,191,703
overview,United Kingdom,K02000001,2020-03-24,148,512
overview,United Kingdom,K02000001,2020-03-23,76,364
overview,United Kingdom,K02000001,2020-03-22,36,288
overview,United Kingdom,K02000001,2020-03-21,58,252
overview,United Kingdom,K02000001,2020-03-20,32,194
overview,United Kingdom,K02000001,2020-03-19,45,162
overview,United Kingdom,K02000001,2020-03-18,34,116
overview,United Kingdom,K02000001,2020-03-17,16,82
overview,United Kingdom,K02000001,2020-03-16,22,65
overview,United Kingdom,K02000001,2020-03-15,14,43
overview,United Kingdom,K02000001,2020-03-14,18,29
overview,United Kingdom,K02000001,2020-03-13,1,10
overview,United Kingdom,K02000001,2020-03-12,2,9
overview,United Kingdom,K02000001,2020-03-11,0,7
overview,United Kingdom,K02000001,2020-03-10,4,7
overview,United Kingdom,K02000001,2020-03-09,1,3
overview,United Kingdom,K02000001,2020-03-08,0,2
overview,United Kingdom,K02000001,2020-03-07,1,2
overview,United Kingdom,K02000001,2020-03-06,1,1
overview,United Kingdom,K02000001,2020-03-05,0,
overview,United Kingdom,K02000001,2020-03-04,0,
overview,United Kingdom,K02000001,2020-03-03,0,
overview,United Kingdom,K02000001,2020-03-02,0,
overview,United Kingdom,K02000001,2020-03-01,0,
overview,United Kingdom,K02000001,2020-02-29,0,
overview,United Kingdom,K02000001,2020-02-28,0,
overview,United Kingdom,K02000001,2020-02-27,0,
overview,United Kingdom,K02000001,2020-02-26,0,
overview,United Kingdom,K02000001,2020-02-25,0,
overview,United Kingdom,K02000001,2020-02-24,0,
overview,United Kingdom,K02000001,2020-02-23,0,
overview,United Kingdom,K02000001,2020-02-22,0,
overview,United Kingdom,K02000001,2020-02-21,0,
overview,United Kingdom,K02000001,2020-02-20,0,
overview,United Kingdom,K02000001,2020-02-19,0,
overview,United Kingdom,K02000001,2020-02-18,0,
overview,United Kingdom,K02000001,2020-02-17,0,
overview,United Kingdom,K02000001,2020-02-16,0,
overview,United Kingdom,K02000001,2020-02-15,0,
overview,United Kingdom,K02000001,2020-02-14,0,
overview,United Kingdom,K02000001,2020-02-13,0,
overview,United Kingdom,K02000001,2020-02-12,0,
overview,United Kingdom,K02000001,2020-02-11,0,
overview,United Kingdom,K02000001,2020-02-10,0,
overview,United Kingdom,K02000001,2020-02-09,0,
overview,United Kingdom,K02000001,2020-02-08,0,
overview,United Kingdom,K02000001,2020-02-07,0,
overview,United Kingdom,K02000001,2020-02-06,0,
overview,United Kingdom,K02000001,2020-02-05,0,
overview,United Kingdom,K02000001,2020-02-04,0,
overview,United Kingdom,K02000001,2020-02-03,0,
overview,United Kingdom,K02000001,2020-02-02,0,
overview,United Kingdom,K02000001,2020-02-01,0,
overview,United Kingdom,K02000001,2020-01-31,0,
overview,United Kingdom,K02000001,2020-01-30,0,
overview,United Kingdom,K02000001,2020-01-29,0,
overview,United Kingdom,K02000001,2020-01-28,0,
overview,United Kingdom,K02000001,2020-01-27,0,
overview,United Kingdom,K02000001,2020-01-26,0,
overview,United Kingdom,K02000001,2020-01-25,0,
overview,United Kingdom,K02000001,2020-01-24,0,
overview,United Kingdom,K02000001,2020-01-23,0,
overview,United Kingdom,K02000001,2020-01-22,0,
overview,United Kingdom,K02000001,2020-01-21,0,
overview,United Kingdom,K02000001,2020-01-20,0,
overview,United Kingdom,K02000001,2020-01-19,0,
overview,United Kingdom,K02000001,2020-01-18,0,
overview,United Kingdom,K02000001,2020-01-17,0,
overview,United Kingdom,K02000001,2020-01-16,0,
overview,United Kingdom,K02000001,2020-01-15,0,
overview,United Kingdom,K02000001,2020-01-14,0,
overview,United Kingdom,K02000001,2020-01-13,0,
overview,United Kingdom,K02000001,2020-01-12,0,
overview,United Kingdom,K02000001,2020-01-11,0,
overview,United Kingdom,K02000001,2020-01-10,0,
overview,United Kingdom,K02000001,2020-01-09,0,
overview,United Kingdom,K02000001,2020-01-08,0,
overview,United Kingdom,K02000001,2020-01-07,0,
overview,United Kingdom,K02000001,2020-01-06,0,
overview,United Kingdom,K02000001,2020-01-05,0,
overview,United Kingdom,K02000001,2020-01-04,0,
overview,United Kingdom,K02000001,2020-01-03,0,
